domain_id,domain_name,resource_id,resource_name,classification,layers,gaps,todos
1,Inbox / Conversas,INX-01,Lista de conversas (Inbox principal),full,"UI,hook,DB:evolution_conversations,grant:authenticated",,
1,Inbox / Conversas,INX-02,Filtros de conversas (status departamento fila),full,"UI,hook,RPC:rpc_inbox_filter",,
1,Inbox / Conversas,INX-03,Visualização de mensagens (thread),full,"UI,hook,DB:evolution_messages,realtime:evo.evolution_messages",,
1,Inbox / Conversas,INX-04,Envio de mensagem texto,full,"UI,hook,edge:send-text-message,DB:evolution_messages",,
1,Inbox / Conversas,INX-05,Envio de mídia (imagem vídeo doc),full,"UI,hook,edge:send-media-message,storage:whatsapp-media",,
1,Inbox / Conversas,INX-06,Atribuição de agente,full,"UI,hook,DB:conversations,RPC:rpc_assign_agent",,
1,Inbox / Conversas,INX-07,Atribuição de fila,full,"UI,hook,DB:conversations,RPC:rpc_transfer_queue",,
1,Inbox / Conversas,INX-08,Finalizar/Reabrir conversa,full,"UI,hook,RPC:rpc_close_conversation",,
1,Inbox / Conversas,INX-09,Busca de mensagens (search),full,"UI,RPC:rpc_search_messages",,
1,Inbox / Conversas,INX-10,Realtime — novas mensagens,full,"realtime:evo.evolution_messages(root),hook:useRealtimeMessages",,
1,Inbox / Conversas,INX-11,Realtime — novas conversas,full,"realtime:evo.evolution_conversations(root),hook:useRealtimeConversations",,
1,Inbox / Conversas,INX-12,Histórico completo de conversa,full,"UI,RPC:rpc_conversation_history",,
1,Inbox / Conversas,INX-13,Rascunho de mensagem (draft),partial,UI,Sem persistência no DB — local state apenas,
1,Inbox / Conversas,INX-14,Roteamento por skill,partial,DB:queue_routing_rules,UI de configuração ausente,INBOX-14
1,Inbox / Conversas,INX-15,Notas internas (internal notes),partial,"UI,DB:conversation_notes",Sem realtime no painel de notas,
1,Inbox / Conversas,INX-16,Menções a agentes (@mention),partial,UI,Backend de notificação de menção incompleto,
1,Inbox / Conversas,INX-17,SLA timer visível na conversa,partial,"UI,RPC:rpc_sla_remaining",Sem atualização automática (polling vs realtime),
1,Inbox / Conversas,INX-18,Etiquetas/Labels em conversas,partial,"UI,DB:conversation_labels",UI de criação de labels ausente,
1,Inbox / Conversas,INX-19,Canal de e-mail no inbox,partial,"DB:email_threads,edge:email-*",UI unificada incompleta no inbox,
1,Inbox / Conversas,INX-20,Transferência entre agentes,partial,"UI,RPC:rpc_transfer_agent",Sem notificação ao agente receptor,
2,Contatos / CRM,CTT-01,Lista de contatos,full,"UI,hook,DB:contatos",,
2,Contatos / CRM,CTT-02,Criação/edição de contato,full,"UI,hook,DB:contatos,RPC:upsert_contact",,
2,Contatos / CRM,CTT-03,Busca de contato,full,"UI,RPC:rpc_search_contacts",,
2,Contatos / CRM,CTT-04,Perfil de contato (timeline),full,"UI,hook,DB:contatos,evolution_contacts",,
2,Contatos / CRM,CTT-05,Importação de contatos (CSV),full,"UI,edge:import-contacts",,
2,Contatos / CRM,CTT-06,Merge de contatos duplicados,full,"UI,RPC:rpc_merge_contacts",,
2,Contatos / CRM,CTT-07,Enriquecimento de contato,partial,RPC:enrich_contact,Stub — retorna {enriched: false},
