id,dimension,severity,status,title,component,expected,actual,impact,ttf
DADO-01,DADO/ESTADO,P0,RESOLVED,auth.users x zapp.profiles: UUID mismatch completo,Supabase Auth / PostgreSQL / RLS,19 auth.users com profiles correspondentes (UUID = FK match),RESOLVIDO — UPDATE via session_replication_role=replica: users_sem_profile=0 / profiles_sem_user=0 / sobreposição=19,RLS restaurado para todos os 19 usuários,< 24h
DADO-02,DADO/ESTADO,P1,RESOLVED,WAL slot cainophile_tqoilw2f com lag 281 MB crescente,PostgreSQL / Replication Slots,Slot com consumer ativo e lag < 100 MB,RESOLVIDO — slot auto-eliminado por processo externo. 0 slots problemáticos. 2 slots Realtime saudáveis (lag=0.57 MB),Risco de disco eliminado,< 72h
DADO-03,DADO/ESTADO,P1,DRIFT,evolution-db-purge com OOM killed (137) e command not found (127),Docker Swarm / evolution-db-purge,Container executa limpeza sem erros,Múltiplas instâncias: Exited(137) OOM + Exited(127) command not found,Falha na purge de dados Evolution API - crescimento de tabelas,< 72h
ARTEF-02,ARTEFATO,P1,FALSE_POSITIVE,Sub-rotas Evolution API — falso positivo (arquitetura monolítica),Edge Functions / supabase/functions/,"find-status-messages, get-webhook, send-chat-presence, set-webhook como funções separadas","FALSO POSITIVO — todas as 4 sub-rotas existem em supabase/functions/evolution-api/index.ts como blocos if/action",Nenhum impacto — design intencional,N/A
MIGR-02,MIGRAÇÃO,P1,DRIFT,Schema evo com 143 tabelas vs 172 esperadas (-29),PostgreSQL / Schema evo,172 tabelas no schema evo,143 tabelas presentes - 29 ausentes,Funcionalidades Evolution API potencialmente ausentes,< 72h
SAUDE-03,SAÚDE,P1,DRIFT,evolution-db-purge OOM kills recorrentes,Docker Swarm / Container,Container operando dentro dos limites de memória,OOM kills recorrentes (exit 137),Acúmulo de dados não purgados na Evolution API,< 72h
DADO-05,DADO/ESTADO,P2,RESOLVED,Flags public de buckets storage corrigidas,Supabase Storage,"audio-memes: public=false, audio-messages: public=true","RESOLVIDO — UPDATE storage.buckets: audio-memes=false / audio-messages=true. Verificado.",Exposição não intencional eliminada,< 1 semana
DADO-06,DADO/ESTADO,P2,RESOLVED,Contagem de cron jobs atualizada no CLAUDE.md,pg_cron / CLAUDE.md,146 cron jobs (per CLAUDE.md 2026-08-04),RESOLVIDO — CLAUDE.md atualizado para 151 cron jobs (auditado 2026-08-06),Documentação atualizada,< 1 semana
MIGR-03,MIGRAÇÃO,P2,RESOLVED,Schema zapp: 323 tabelas documentadas no CLAUDE.md,PostgreSQL / CLAUDE.md,321 tabelas no schema zapp,RESOLVIDO — CLAUDE.md atualizado para 323 tabelas,Documentação atualizada,< 1 semana
MIGR-04,MIGRAÇÃO,P2,RESOLVED,5 schemas documentados no CLAUDE.md,PostgreSQL / CLAUDE.md,Apenas schemas listados no CLAUDE.md,"RESOLVIDO — artes, graveyard, logistica, monitoring, parity_audit adicionados ao CLAUDE.md com descrições",Documentação atualizada,< 1 semana
