path;classe;justificativa
.github/workflows/decouple-guard.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
.github/workflows/zapp-ddl-gate.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
CLAUDE.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
README.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
consumer/Dockerfile;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
consumer/REMEDIATION-hmac.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
consumer/consumer.py;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
db/migrations/20260816000000_e41_evo_schema_baseline.sql;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
db/migrations/20260816160000_e89_rpc_insert_consumer_stats.sql;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
db/schema/evo_schema_snapshot.sql;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/BOUNDARY-zapp.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/EVOLUTION-CHANGELOG.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/GITOPS.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/HANDOFF-2026-08-12-pendencias-pos-cutover.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/decisions/ADR-004-evolution-api-webhook-bridge.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/DESACOPLAMENTO-PORTAINER-RESULTADOS-2026-08-14.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/HANDOFF-desacoplamento-portainer-2026-08-14.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/HANDOFF-phase7-continuacao.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/README.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/portainer-snapshots/2026-08-14/AUDITORIA-2026-08-14.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/portainer-snapshots/2026-08-14/stack-239-evolution-functions-health.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/portainer-snapshots/2026-08-14/stack-25-evolution.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
docs/infra/stack25-evolution-net.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
image/Dockerfile;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
image/Dockerfile.2.4;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
image/tests/check-publish-evo-fallbacks.test.js;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
runbooks/DR_RUNBOOK_EVO.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
runbooks/EVOLUTION_OPS_RUNBOOK.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
runbooks/c9-d8-decision.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
runbooks/evo-tables-kdw-inventory.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
runbooks/evolution-restart-rabbitmq-bindings.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
scripts/reconcile-v4.sh;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
stacks/README.md;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
stacks/evolution-rabbit-consumer.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
stacks/evolution-watchdogs.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
stacks/evolution.yml;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
watchdogs/portainer-drift-check.sh;PENDENTE;Fase 8B define CORRIGE-LABEL/CORRIGE-COMMENT/VALIDA-CONTRATO
