id,secao,dimensao,componente,esperado,encontrado,status,severidade,evidencia,acao
R01-01,01_runtime,REDE,Stack supabase (13 serviços),13/13 serviços running e healthy,"13/13 running; healthchecks: db, kong, meta, studio, web healthy; demais sem healthcheck",OK,-,01 §0/§9 (list_services/list_containers); RestartCount=0 em todos,—
R01-02,01_runtime,REDE,supabase_meta sem crash-loop,Meta estável (histórico: Exited 137),"Meta running healthy, recriado 2026-08-04T16:29Z, RestartCount=0 — crash 137 anterior NÃO presente",OK,-,01 §0/§8 D9; 08 §86 (root-cause OOM),Manter vigilância (ver R08-02; memória 512MB é apertada)
R01-03,01_runtime,REDE,github-actions-runner com réplica ativa,Replica=1 rodando (CI self-hosted),"6 tasks exited (Exit 1 ×5, Exit 0 ×1, última 35h atrás), 0 running",FAIL,P2,01 §7 (list_containers; tasks ta8of..yz),Investigar logs do runner (token/registro) e restaurar réplica — CI self-hosted fora do ar
R01-04,01_runtime,REDE,openclaw-edge-guard task inicia,Task running (guard ativo),Task presa em 'created' com churn entre 2 snapshots (~15 min),FAIL,P2,01 §7 (tasks 6mek2u7e…/ewx0iy8c…),Diagnosticar por que a task não inicia (imagem/eventos do Swarm)
R01-05,01_runtime,REDE,zapp-health-guard task inicia,Task running (guard de saúde),Task presa em 'created' com churn entre 2 snapshots,FAIL,P2,01 §7 (tasks xsayv7gd…/jiptcmm4…),Diagnosticar task criada sem start (Swarm events)
R01-06,01_runtime,REDE,Sem lixo de teste no runtime,Nenhum container órfão de teste,kong-rl-test exited(1) há 31h — sobra de teste de rate-limit,WARN,P3,01 §7 (container standalone kong:3.9.3),Remover container de teste (docker rm kong-rl-test)
R01-07,01_runtime,REDE,Stack file == runtime (supabase),compose reflete o runtime,kong: compose 3.9.1 + sem rate-limiting vs runtime 3.9.3 + plugin rate-limiting (update 03/08); functions com EVOLUTION_API_KEY/DEEPSEEK_API_KEY antigos em texto plano no compose,FAIL,P1,01 §8 D1/D2 (get_stack_file × list_services),Alinhar stack file ao runtime ANTES de qualquer `docker stack deploy` (senão redeploy reverte kong/rate-limiting e secrets)
R01-08,01_runtime,REDE,Segredos não declarados no compose,Todos os secrets usados declarados,Runtime usa 6 secrets + deepseek_api_key_v2 + evolution_api_key_v4_20260704; compose declara só 6,WARN,P2,01 §8 D4 (stack file × /run/secrets),Declarar secrets novos no compose (após alinhar D1/D2)
R01-09,01_runtime,REDE,PGRST_DB_URI sem senha em claro,Credencial via secret,PGRST_DB_URI com senha authenticator em texto plano no env do container E no compose (fp b0e6e79fbc9d),WARN,P1,01 §8 D6; 06 §65 (rest sem secrets montados),Migrar PGRST_DB_URI para docker secret (higiene; mesmo valor hoje)
R01-10,01_runtime,REDE,Chaves cripto estáticas,CRYPTO_KEY via secret,CRYPTO_KEY/PG_META_CRYPTO_KEY iguais e em claro no compose (fp 52d4e8f5436d),WARN,P2,01 §8 D7 (meta/studio env),Mover para secret; rotacionar em janela planejada
R01-11,01_runtime,REDE,Healthchecks em todos os serviços críticos,Sonda de saúde definida,"Sem healthcheck: rest, auth, functions, storage, realtime, analytics, vector, supavisor, imgproxy",WARN,P2,01 §9 (healthcheck por container),Adicionar healthchecks (pg_isready/curl) no compose — evita failover cego
R01-12,01_runtime,REDE,Volumes anônimos (lixo),Sem volumes anônimos órfãos,"7+ volumes anônimos, incl. pgdata do schema-drift-guard (a405eaf5…)",WARN,P3,01 §5 (list_volumes),Auditar e remover volumes anônimos sem uso
R01-13,01_runtime,REDE,Front zapp-web-prod em produção,Imagem == HEAD auditado ou mais novo,healthy (/healthz); T0 imagem a1d01703d1ce == HEAD local; T1 (atual) b58d2575f778 À FRENTE do checkout local (build recente do pipeline),OK,-,01 §2/§3/§8 D3; 04 §51,Rodar git fetch no checkout local p/ alinhar auditoria; nada a corrigir em prod
R01-14,01_runtime,REDE,Rede overlay e gateway,Containers na mesma overlay; gateway responde,AtomicaBRNet (10.0.1.0/24) para todo o stack; kong 401 sem apikey = esperado; ingress OK,OK,-,01 §6; 08 §91 (curl interno/externo),—
R01-15,01_runtime,REDE,Swarm single-node saudável,"Node manager UP, sem warnings graves","Node UP (209.142.67.51), Docker 28.1.1, 12 vCPU/25GB RAM; warning: sem swap limit support",OK,-,01 §1 (swarm_info/get_docker_info),—
R02-01,02_backend,VERSÃO,PostgreSQL versão/uptime,"PG 15.8, postmaster recente",PG 15.8 (gcc 13.2.0); postmaster 2026-07-31T18:36Z (~4 dias),OK,-,02 Etapa 23 (version()),—
R02-02,02_backend,VERSÃO,Censo zapp vs referência,321 tabelas / 380 views / ~1060 funções,321 tabelas / 380 views / 5 matviews / 1066 funções (+6 vs ~1060),OK,-,02 Etapa 27 (pg_class/pg_proc),Baseline atualizado: 321/380/1066
R02-03,02_backend,VERSÃO,Extensões requisitadas,Conjunto Supabase completo,21 instaladas; `http` AUSENTE (única; pg_net cobre net.http_*; teste de regressão proíbe extensions.http_post — design consciente),OK,-,02 Etapa 24; 05 Etapa 58 (pg_extension + grep repo),Manter teste de regressão que proíbe reintrodução de http
R02-04,02_backend,VERSÃO,search_path por role,anon com acesso a schemas que usa,"anon NÃO tem `zapp` no search_path (evo, public, extensions) enquanto authenticated/service_role têm",WARN,P1,02 Etapa 25 (pg_db_role_setting),"Conferir RPCs de zapp chamadas como anon; se houver, ALTER ROLE anon SET search_path"
R02-05,02_backend,VERSÃO,Schemas regulares esperados,Apenas schemas de plataforma + app,35 regulares: core supabase + zapp/evo/bpm/email_app/financeiro/vendas/logistica/artes + ops/monitoring/parity_audit/graveyard/_backups/archive/ai; 212 temporários (106 sessões pool),OK,P2,02 Etapa 26 (pg_namespace),Confirmar necessidade de graveyard/parity_audit (artefatos de auditoria antiga)
R02-06,02_backend,VERSÃO,Cron jobs ativos,"~146 jobs, todos ativos","146 jobs, TODOS active=true; 189 evo_cleanup_expired_contact_ids vs 190 cleanup_expired_contact_ids funcionalmente duplicados",OK,P2,02 Etapa 28 (cron.job),Revisar par duplicado 189/190 (não bloqueante)
R02-07,02_backend,VERSÃO,Publicação Realtime,Tabelas subscritas publicadas,"68 tabelas na pub supabase_realtime (zapp 50, evo 12, email_app 5, financeiro 1); messages NÃO publicada (ver R07-06)",OK,P1,02 Etapa 29 (pg_publication_tables),Ver R07-06 (P1: publicar tabelas de mensagens)
R02-08,02_backend,VERSÃO,Replication slots,"Slots ativos, sem órfãos","2 slots, ambos active, wal_status=reserved; lag ~7-9 MB",OK,-,02 Etapa 30; 07 §83 (pg_replication_slots),—
