version,filename,file_present,db_record,db_name,bucket,action,risk,in_snapshot,source,evidence
20260804000000,20260804000000_canonical_schema_squash_133_migrations.sql,yes,yes,canonical_schema_squash_133_migrations,B0,KEEP,HIGH,yes,agent,20260804000000	20260804000000_canonical_schema_squash_133_migrations.sql	B0	KEEP	HIGH	yes	Canonical baseline fixa (16375
20260804120000,20260804120000_enable_rls_missing_tables.sql,yes,yes,enable_rls_missing_tables (aplicada de facto; delta efetivo ,B3,ARCHIVE,LOW,no,agent,20260804120000	20260804120000_enable_rls_missing_tables.sql	B3	ARCHIVE	LOW	no	10 ENABLE RLS + 2 CREATE POLICY. Policies 
20260804130000,20260804130000_fix_rls_critical_gaps.sql,yes,yes,fix_rls_critical_gaps (C-1 corrigido; delta efetivo em 20260,B2,ARCHIVE,LOW,parcial,agent,20260804130000	20260804130000_fix_rls_critical_gaps.sql	B2	ARCHIVE	LOW	parcial	12 DROP/CREATE POLICY + REVOKE anon. team
20260804140000,20260804140000_fix_rls_delta_corrigido.sql,yes,yes,fix_rls_delta_corrigido,B2,ARCHIVE,LOW,parcial,agent,20260804140000	20260804140000_fix_rls_delta_corrigido.sql	B2	ARCHIVE	LOW	parcial	DROP/CREATE policies team_messages; tal
20260804140100,20260804140100_fix_rls_critical_follow_up.sql,yes,yes,fix_rls_critical_follow_up,B2,ARCHIVE,LOW,yes,agent,20260804140100	20260804140100_fix_rls_critical_follow_up.sql	B2	ARCHIVE	LOW	yes	talkx_recipients_select/insert/update/de
20260804150000,20260804150000_fix_secdef_revoke_extended_schemas.sql,yes,yes,fix_secdef_revoke_extended_schemas (registro manual),B2,ARCHIVE,LOW,parcial,agent,20260804150000	20260804150000_fix_secdef_revoke_extended_schemas.sql	B2	ARCHIVE	LOW	parcial	REVOKE secdef em schemas ext
20260804150001,20260804150001_integration_schema_zapp_fixes.sql,yes,yes,integration_schema_zapp_fixes (registro manual),B2,ARCHIVE,LOW,yes,agent,20260804150001	20260804150001_integration_schema_zapp_fixes.sql	B2	ARCHIVE	LOW	yes	5+ CREATE/REPLACE FUNCTION c/ GRANT. 
20260804160000,20260804160000_fix_rls_policy_gaps_agent2.sql,yes,yes,fix_rls_policy_gaps_agent2 (registro manual),B3,ARCHIVE,LOW,no,agent,20260804160000	20260804160000_fix_rls_policy_gaps_agent2.sql	B3	ARCHIVE	LOW	no	feature_flags_authenticated_select=0; tea
20260804170000,20260804170000_fix_rls_systematic_coverage.sql,yes,yes,fix_rls_systematic_coverage (registro manual),B2,ARCHIVE,LOW,parcial,agent,20260804170000	20260804170000_fix_rls_systematic_coverage.sql	B2	ARCHIVE	LOW	parcial	ENABLE RLS em zapp/evo/bpm tables (
20260804190316,20260804190316_restore_orphaned_rpcs.sql,yes,yes,restore_orphaned_rpcs,B2,ARCHIVE,LOW,yes,agent,20260804190316	20260804190316_restore_orphaned_rpcs.sql	B2	ARCHIVE	LOW	yes	19 CREATE/REPLACE FUNCTION c/ GRANT. fn_edge_
20260804195000,20260804195000_talkx_recipients_write_policies.sql,yes,yes,talkx_recipients_write_policies,B2,ARCHIVE,LOW,yes,agent,20260804195000	20260804195000_talkx_recipients_write_policies.sql	B2	ARCHIVE	LOW	yes	5 DROP/CREATE POLICY em talkx_recip
20260804210100,20260804210100_fix_rls_wave3_gaps_v2.sql,yes,yes,fix_rls_wave3_gaps_v2,B2,ARCHIVE,LOW,yes,agent,20260804210100	20260804210100_fix_rls_wave3_gaps_v2.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron sem obje
20260804210923,20260804210923_restore_edge_idempotency_rpcs.sql,yes,yes,restore_edge_idempotency_rpcs,B2,ARCHIVE,LOW,yes,agent,20260804210923	20260804210923_restore_edge_idempotency_rpcs.sql	B2	ARCHIVE	baixo	8	db_record=yes | 8/8 objetos no snapsh
20260805000000,20260805000000_delta_724_orphaned_objects.sql,yes,yes,delta_724_orphaned_objects,B2,ARCHIVE,LOW,yes,agent,20260805000000	20260805000000_delta_724_orphaned_objects.sql	B2	ARCHIVE	baixo	8	db_record=yes | 8/13 objetos no snapshot
20260805000001,20260805000001_fix_rls_write_policies.sql,yes,yes,fix_rls_write_policies,B2,ARCHIVE,LOW,yes,agent,20260805000001	20260805000001_fix_rls_write_policies.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron sem obj
20260805000008,20260805000008_campanhas_nps_cron.sql,yes,yes,campanhas_nps_cron,B2,ARCHIVE,LOW,yes,agent,20260805000008	20260805000008_campanhas_nps_cron.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron sem objetos
20260805000010,20260805000010_cron_scheduler_admin_rpcs.sql,yes,yes,cron_scheduler_admin_rpcs,B2,ARCHIVE,LOW,yes,agent,20260805000010	20260805000010_cron_scheduler_admin_rpcs.sql	B2	ARCHIVE	baixo	2	db_record=yes | 2/2 objetos no snapshot |
20260805093021,20260805093021_cleanup_deleted_edge_functions.sql,yes,yes,cleanup_deleted_edge_functions,B2,ARCHIVE,LOW,yes,agent,20260805093021	20260805093021_cleanup_deleted_edge_functions.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron
