path;classe;justificativa;consumidores;destino_path;etapa
.coderabbit.yaml;FICA;default conservador (R3);;;
.deno-lint-rules/no-direct-evo-url.ts;FICA;gate/enforcement CI (E77-E78);;;
.env.example;FICA;default conservador (R3);;;
.github/CODEOWNERS;FICA;default conservador (R3);;;
.github/workflows/check-realtime-dead-channels.yml;FICA;Gate vivo de monitoramento: detecta canais realtime mortos e mapeia tabelas zapp->evo no report (linhas 58-60).;cron/CI;;E81
.github/workflows/db-invariants.yml;FICA;Gate vivo INV-5: exige schema:'evo' nas subscriptions evolution_messages/conversations (linhas 128-135).;PRs;;E81
.github/workflows/decouple-guard.yml;FICA;Gate de enforcement E22/E46: bloqueia infra/evolution* e regressão do inventory de acoplamento (roda scripts/decouple/inventory.mjs e sql-gate).;PRs;;E81
.github/workflows/deno-contract-tests.yml;FICA;Contratos vivos, ref 'evo' é só comentário sobre tests evolution-api que leakam (linha 52).;PRs;;E81
.github/workflows/deploy-vps.yml;FICA;Deploy vivo do zapp, smoke check da edge function evolution-api (linha 385). Comentário linha 42 citando publish-evolution-api-custom é histórico (workflow já migrou p/ evolution-stack).;deploy VPS;;E81
.github/workflows/e2e-admin-vps.yml;FICA;E2E evolution contract: roda e2e/admin-evolution-api-smoke.spec.ts (linha 79).;E2E VPS;;E81
.github/workflows/edge-auth-smoke.yml;FICA;Edge function evolution-api mora no zapp, smoke/auth gate protege evolution-api e ai-router (linhas 80, 153).;PRs;;E81
.github/workflows/evo-ddl-gate.yml;FICA;Gate E42 de enforcement: bloqueia DDL novo em schema evo via scripts/decouple/evo-ddl-gate.mjs + allowlist.;PRs;;E81
.github/workflows/measure-invariants.yml;FICA;Gate vivo E2/E20: mede os 9 invariantes de desacoplamento ZAPP×Evolution via boundary-audit ONLINE (linhas 41-53).;PRs;;E81
.github/workflows/post-deploy-check.yml;FICA;Health check pós-deploy vivo: smoke evolution-api/get-media-base64 (linhas 102-104).;deploy VPS;;E81
.github/workflows/security-invoker-gate.yml;FICA;Gate vivo D-8: consulta evo.v_security_audit e valida security_invoker nas views zapp/evo (linhas 33-147), fail-closed.;PRs;;E81
.hermes/auditoria-infra/AUDITORIA_TRACKING_EVO_20260806.md;"EXCLUI;REVISAR";working file de sessao [R2: consumidor encontrado: .hermes/execucao-evo-20260806/E10-docs.md, docs/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md];;;
.hermes/execucao-evo-20260806/E10-docs.md;EXCLUI;working file de sessao;;;
.hermes/plans/AUDITORIA-ZAPP-SELFHOSTED-2026-08-01.md;"EXCLUI;REVISAR";working file de sessao [R2: consumidor encontrado: .hermes/plans/PLANO-EXECUCAO-MESTRE-2026-08-01.md];;;
.hermes/plans/fix-console-20260803.md;EXCLUI;working file de sessao;;;
.hermes/postgrest_exposed_fns.json;EXCLUI;working file de sessao;;;
.hermes/postgrest_exposure_audit_2026-08-03.md;EXCLUI;working file de sessao;;;
.hermes/rollback-test/rollback-test-report.md;"EXCLUI;REVISAR";working file de sessao [R2: consumidor encontrado: .hermes/rollback-test/__pycache__/generate_and_test_rollbacks.cpython-311.pyc, .hermes/rollback-test/generate_and_test_rollbacks.py, docs/simulation/2026-08-03_deleted-scripts_50_failure_simulation.md];;;
.hermes/secddef_exposed_defs.txt;EXCLUI;working file de sessao;;;
.hermes/security-auth-audit-2026-08-03.md;"EXCLUI;REVISAR";working file de sessao [R2: consumidor encontrado: docs/simulation/2026-08-03_runtime_fixes_60_failure_simulation.md];;;
.hermes/zapp_exposed_compact.json;EXCLUI;working file de sessao;;;
.mcp.json.example;FICA;default conservador (R3);;;
AGENTS.md;FICA;default conservador (R3);;;
CHANGELOG.md;FICA;default conservador (R3);;;
CLAUDE.md;FICA;default conservador (R3);;;
CONTRIBUTING.md;FICA;default conservador (R3);;;
DECOUPLING.md;FICA;default conservador (R3);;;
ESTADO.md;FICA;default conservador (R3);;;
FEATURE_REGISTRY.md;FICA;default conservador (R3);;;
HERMES.md;FICA;default conservador (R3);;;
PLANO-ESTADO.md;FICA;default conservador (R3);;;
README.md;FICA;default conservador (R3);;;
REGRESSION_SIMULATION_REPORT.md;FICA;default conservador (R3);;;
RLS_AUDIT_REPORT.md;FICA;default conservador (R3);;;
VALIDATION_PLAN_50_STEPS.md;FICA;default conservador (R3);;;
db/migrations/evo/20260808_auditoria_onda4.sql;FICA;R1: migracao imutavel;;;
db/migrations/supabase/20260808_auditoria_onda4_evo_schema.sql;FICA;R1: migracao imutavel;;;
db/remediation/consumer-hmac-patch.md;FICA;default conservador (R3);;;
docs/ADR-003_REPOSITORIO_PRIVADO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ADR-004_REVOGA_BUCKET_PUBLICO.md;FICA;ADR de decisão vigente (revogação do bucket público whatsapp-media) com 2 consumidores vivos (INCIDENTE-MEDIA-BUCKET e watchdog-bucket-public), sem duplicata em docs/decisions/ (os ADR-004-* de lá são de outros temas: css-modularization e evolution-api-webhook-bridge) -> mover para docs/decisions/.;docs/INCIDENTE-MEDIA-BUCKET-20260806.md, docs/watchdog-bucket-public-20260806.md;docs/decisions/ADR-004_REVOGA_BUCKET_PUBLICO.md;E28
