camadas,confianca,descricao,dominio,em_uso,esforco,evidencias,id,o_que_falta,obs,recurso,status
"UI,hook,tabela",media,Lembretes por contato com dismiss,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,P,src/features/inbox/components/contact-details/ContactAccordionSections.tsx:226 (RemindersPanel) + src/features/inbox/hooks/useRemindersData.ts:7/26 (CRUD reminders) + zapp.reminders + policies reminders_own/reminders_admin (20260724000045:782),AUTOMACOES-10,,4 camadas ok; 0 linhas (feature sob demanda do usuário).,Lembretes,Full
"UI,rota,hook,tabela",media,Playbooks operacionais com CRUD no Admin,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,P,"src/features/admin/components/AdminView.tsx:128/316 (tab Playbooks) + src/features/admin/hooks/usePlaybooksData.ts:6/22 (CRUD playbooks) + zapp.playbooks (20260724000044:487, policies + grants authenticated)",AUTOMACOES-11,,4 camadas ok; sem dados ainda.,Playbooks,Full
"UI,hook,tabela/view",media,Templates/quick-replies de mensagem no inbox (picker no composer) com CRUD completo.,CAMPANHAS/TALKX/AGENDADAS,nao,P,"src/features/inbox/components/chat/ChatInputToolbars.tsx:344 (<MessageTemplates/>) + ChatTemplatesOverlay.tsx:34 (<TemplatesWithVariables/>) + src/features/inbox/hooks/useMessageTemplates.ts:41,65,92,115,130 (CRUD zapp.message_templates) + zapp.message_templates (db_tabelas_zapp.txt message|message_templates:r) — sem RLS (acessível), fio .from('message_templates') casa com objeto real",CAMPANHAS-10,,Único recurso do domínio com ciclo completo (UI acessível + hook + tabela sem bloqueio). 0 linhas no db_uso — recurso disponível mas sem dados. Nota: evo.evolution_message_templates (usado pelo evolution-followup) segue 0 linhas e sem UI.,Template de mensagem,Full
"UI,rota,hook,RPC,tabela/view,teste",alta,"Grid/lista/tabela de contatos com busca cursor-based, tabs por tipo, filtros (empresa, cargo, tag, data) e contagem por tipo.",CONTATOS/CRM,sim,P,"src/features/contacts/hooks/useContactsSearch.ts:174 (rpc search_contacts_cursor) + :225 (contacts_count_by_type) + src/pages/ViewRouter.tsx:80 (rota contacts -> ContactsRichView) + zapp.contacts view -> zapp.contatos (3236 linhas, db_uso) + supabase/migrations/20260802000003_fix_search_contacts_cursor_v2.sql:179 (GRANT EXECUTE authenticated)",CONTATOS-01,,search_contacts_cursor definida em canonical_schema.sql:4911/14134; contacts_count_by_type em archive/20260502_create_rpc_functions.sql:4 e zapp em archive/20260724000033:168. Cliente Supabase schema 'zapp' (client.ts:545).,Lista de contatos + busca/filtros/paginação,Full
"UI,hook,tabela/view,realtime",alta,"Painel lateral do contato no inbox: dados, canais, audit log LGPD e diálogo de edição.",CONTATOS/CRM,sim,P,"src/components/contacts/ContactQuickView.tsx (render em ContactsRichView.tsx:289) + src/features/inbox/components/contact-details/EditContactDialog.tsx:294 (AuditLogPanel -> safeClient.from('contact_audit_log') em AuditLogPanel.tsx:75) + zapp.contacts view -> zapp.contatos; zapp.contact_audit_log na publication 68 (db_realtime.txt) + from_calls_front.txt (contacts, contact_phones, contact_emails)",CONTATOS-02,,contact_audit_log com 0 linhas (db_uso) — só popula via triggers/escritas; subscription realtime de contatos NÃO é consumida no front (realtime_channels_front.txt só tem evolution_retry_metrics_realtime).,"Detalhe do contato (quick view, edição, audit LGPD)",Full
"UI,hook,RPC,tabela/view",alta,Form V3 de criação/edição com update versionado (conflito detectado) e fallback de força bruta.,CONTATOS/CRM,sim,P,src/components/contacts/useContactFormV3.ts:163 (dbRpc update_contact_versioned) + :183/:186 (update/insert via zapp.contacts view) + supabase/migrations/archive/20260501_contacts_optimistic_locking.sql:31 (função) + archive/20260502_contacts_schema_finalization.sql:129 (GRANT EXECUTE authenticated) + UI: ContactDialogs.tsx:75/91 (ContactFormV3) render em ContactsRichView.tsx:267,CONTATOS-03,,Insert/update via view security_invoker zapp.contacts (migration 20260801185259_r29_grant_execute_security_invoker_views.sql).,Criar/editar contato (com optimistic locking),Full
"UI,hook,tabela/view,teste",alta,"Notas privadas por contato com autor (profiles), CRUD completo e invalidação de queries.",CONTATOS/CRM,nao,P,src/features/contacts/hooks/useContactNotes.ts:63/115/148 (.from('contact_notes') select/insert/delete) + UI: src/features/inbox/components/PrivateNotes.tsx e InternalNotesPanel.tsx + zapp.contact_notes (db_tabelas_zapp; 1 linha em db_uso) + testes em __tests__/useContactNotes.test.tsx,CONTATOS-05,,Apenas 1 registro em produção (db_uso) — feature funcional mas pouco utilizada.,Notas do contato,Full
"UI,hook,tabela/view",alta,CRUD de tags + atribuição/remoção por contato (contact_tags) e contagem por tag.,CONTATOS/CRM,nao,P,"src/hooks/useTags.ts:37/46/142/186/201 (.from('tags') e .from('contact_tags')) + UI: ContactQuickView.tsx:199 (seção Etiquetas) + ContactsBulkActionBar.tsx (etiquetar em lote) + zapp.tags e zapp.contact_tags (db_tabelas_zapp.txt) + from_calls_front.txt (tags, contact_tags)",CONTATOS-06,,zapp.tags e zapp.contact_tags com 0 linhas em db_uso (tabelas vazias em produção).,Tags/etiquetas,Full
"UI,hook,tabela/view",media,"Histórico de compras por contato (título, valor, tipo) com criação via UI.",CONTATOS/CRM,nao,P,src/features/inbox/hooks/useContactPurchasesData.ts:9/23 (.from('contact_purchases') select/insert) + UI: src/features/inbox/components/ContactPurchasesPanel.tsx + zapp.contact_purchases (db_tabelas_zapp.txt; 0 linhas em db_uso) + from_calls_front.txt (contact_purchases),CONTATOS-08,,Tabela com 0 registros em produção; painel existe no detalhe do contato.,Compras do contato,Full
"UI,hook,RPC,tabela/view",alta,"Painel de inteligência (briefing, sentiment, engagement, churn, DISC) + enriquecimento via RPC.",CONTATOS/CRM,sim,P,src/hooks/useCRMManagement.ts:248 (rpc enrich_contact) + src/hooks/useContactIntelligence.ts:294 (.from('contact_intelligence')) + UI: ContactIntelligencePanel.tsx:255 + ChatHeader.tsx + zapp.contact_intelligence (20541 linhas em db_uso!) + GRANTs: 20260724000005:176 / canonical:6213 (enrich_contact) e canonical:16041 (get_contact_intelligence_by_phone) + funções em canonical_schema.sql:6186/15556,CONTATOS-09,,Único recurso do domínio com dados massivos em produção (20.5k linhas). Dois hooks homônimos (features/contacts e hooks/) — risco de divergência.,Intelligence / enriquecimento do contato,Full
"UI,hook,tabela/view",alta,Favoritar/desfavoritar contato por usuário (favorite_contacts) com estado na lista de conversas.,CONTATOS/CRM,nao,P,"src/hooks/useConversationManagement.ts:64 (loadFavorites) + :148 (favoriteContact) + :165 (unfavoriteContact), todos .from('favorite_contacts') + zapp.favorite_contacts (db_tabelas_zapp.txt) + from_calls_front.txt (favorite_contacts)",CONTATOS-10,,0 linhas em db_uso (nenhum favorito registrado em produção).,Favoritos,Full
"UI,edge,tabela/view",alta,"Importação CSV com template, validação (máx 50k linhas) e resultado inserted/updated/skipped via edge function.",CONTATOS/CRM,sim,P,src/components/contacts/ContactImportDialog.tsx:147 (supabase.functions.invoke('contacts-import')) render em ContactsRichView.tsx:282 + edge contacts-import DEPLOYADA (edges_deployadas.txt) + zapp.contatos 3236 linhas (db_uso),CONTATOS-11,,Edge grava em zapp.contatos; CSV com nome/telefone/email/empresa/tags/notas.,Importação em massa (CSV),Full
"UI,hook,RPC,tabela/view,teste",alta,"Detecção de duplicados, merge manual com resolução de conflito e auto-merge em lote.",CONTATOS/CRM,n-a,P,"src/components/contacts/DuplicateContactsPanel.tsx:62/63/96/142 (find_duplicate_contacts, get_duplicate_report, merge_contacts, bulk_auto_merge_duplicates) + ContactMergeDialog.tsx:266/291 (update zapp.contacts + soft-delete) + funções em canonical_schema.sql:12324/12341/13342 com GRANT EXECUTE authenticated (canonical:12337/12351, 20260802000002:40) + UI render em ContactContentArea.tsx:82 + teste useCRMManagement.simulacao.test.tsx",CONTATOS-13,,Merge via ContactMergeDialog reatribui conversations/messages e faz soft-delete (deleted_at/deleted_reason) — sem hard delete (LGPD).,Fusão/merge + detecção de duplicados,Full
